date,block_number,token_address,token_name,token_decimals,token_balance
2022-05-03,14707705,ether,ethereum,18,620262.4522476629
2022-05-04,14713963,ether,ethereum,18,619440.6353259097
2022-05-05,14720258,ether,ethereum,18,620130.129972556
2022-05-06,14726563,ether,ethereum,18,621597.4014963263
2022-05-07,14732821,ether,ethereum,18,622384.8292848
2022-05-08,14739154,ether,ethereum,18,625722.3227111378
2022-05-09,14745349,ether,ethereum,18,626301.2557995478
2022-05-10,14751557,ether,ethereum,18,626879.0925371704
2022-05-11,14757895,ether,ethereum,18,628330.8637806737
2022-05-12,14764083,ether,ethereum,18,629065.9544822283
2022-05-13,14770450,ether,ethereum,18,629888.7132423719
2022-05-14,14776687,ether,ethereum,18,630712.5532261799
2022-05-15,14782976,ether,ethereum,18,631863.3837173
2022-05-16,14789264,ether,ethereum,18,633949.1813362576
2022-05-17,14795549,ether,ethereum,18,635215.6466445798
2022-05-18,14801795,ether,ethereum,18,636514.3412124458
2022-05-19,14807907,ether,ethereum,18,637473.8932547787
2022-05-20,14814061,ether,ethereum,18,638244.5924465118
2022-05-21,14820221,ether,ethereum,18,638078.6953231011
2022-05-22,14826343,ether,ethereum,18,637599.0740198488
2022-05-23,14832562,ether,ethereum,18,638615.7754252042
2022-05-24,14838636,ether,ethereum,18,637935.194991796
2022-05-25,14844801,ether,ethereum,18,636339.6262774502
2022-05-26,14850893,ether,ethereum,18,636801.5383380238
2022-05-27,14857111,ether,ethereum,18,637997.8211853052
2022-05-28,14863277,ether,ethereum,18,638977.4507031128
2022-05-29,14869434,ether,ethereum,18,639800.4005340665
2022-05-30,14875530,ether,ethereum,18,640469.987662005
2022-05-31,14881676,ether,ethereum,18,638672.7994218619
2022-06-01,14887795,ether,ethereum,18,639545.9262949206
2022-06-02,14893954,ether,ethereum,18,640242.9688760899
2022-06-03,14900089,ether,ethereum,18,641201.6597318923
2022-06-04,14905987,ether,ethereum,18,641896.2840541515
2022-06-05,14911926,ether,ethereum,18,643014.5064900332
2022-06-06,14917720,ether,ethereum,18,639338.6700840661
2022-06-07,14923677,ether,ethereum,18,640654.1600631479
2022-06-08,14929560,ether,ethereum,18,638943.8833179857
2022-06-09,14935368,ether,ethereum,18,639416.0944627972
2022-06-10,14941265,ether,ethereum,18,641543.4696749581
2022-06-11,14947131,ether,ethereum,18,642182.030763588
2022-06-12,14952970,ether,ethereum,18,642938.5384145393
2022-06-13,14958805,ether,ethereum,18,643284.8383859827
2022-06-14,14964552,ether,ethereum,18,644300.7378814891
2022-06-15,14970302,ether,ethereum,18,644556.9916726536
2022-06-16,14976122,ether,ethereum,18,645168.2257522928
2022-06-17,14981992,ether,ethereum,18,645893.4516448586
2022-06-18,14987808,ether,ethereum,18,646823.5823056836
2022-06-19,14993519,ether,ethereum,18,647525.3516611514
2022-06-20,14999390,ether,ethereum,18,648387.7442662059
2022-06-21,15004855,ether,ethereum,18,649588.3404879023
2022-06-22,15010210,ether,ethereum,18,652091.109190739
2022-06-23,15015519,ether,ethereum,18,655511.6681366875
2022-06-24,15020885,ether,ethereum,18,657530.3561264358
2022-06-25,15026232,ether,ethereum,18,657939.1359324266
2022-06-26,15031542,ether,ethereum,18,662946.5132489831
2022-06-27,15036953,ether,ethereum,18,666657.7318229574
2022-06-28,15042265,ether,ethereum,18,668453.8932847568
2022-06-29,15047597,ether,ethereum,18,669348.3903914263
2022-06-30,15053225,ether,ethereum,18,667602.2890669532
2022-07-01,15059680,ether,ethereum,18,667738.6620241174
2022-07-02,15066168,ether,ethereum,18,668093.7779455959
2022-07-03,15072708,ether,ethereum,18,667657.9596559606
2022-07-04,15079143,ether,ethereum,18,667304.8008761863
2022-07-05,15085620,ether,ethereum,18,667752.2409872661
2022-07-06,15092100,ether,ethereum,18,668344.9458166412
2022-07-07,15098519,ether,ethereum,18,668907.581987332
2022-07-08,15105072,ether,ethereum,18,669151.5351840939
2022-07-09,15111486,ether,ethereum,18,664542.069309911
2022-07-10,15117981,ether,ethereum,18,664751.0969592682
